rowname	P001	P002	P003	P004	P005	P006	P007	P008	P009	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129
 g__[Clostridium]_methylpentosum_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_brachy_group	2	2	0	1	0	1	1	2	0	1	0	0	1	0	2	1	2	0	2	0	1	0	0	1	2	1	0	0	0	2	0	0	1	0	1	0	1	2	1	0	2	0	1	1	0	1	0	1	0	2	0	1	2	0	1	1	1	0	2	0	4	2	0	1	3	1	0	2	0	2	0	0	1	2	2	2	2	3	1	1	2	1	2	1	2	1	3	2	1	2	1	3	1	3	2	2	0	1	1	1	3	2	2	1	1	1	0	1	2	2	1	1	1	1	2	0	2	1	0	0	2	2	3	0	2	2	1	2
 g__[Eubacterium]_coprostanoligenes_group	  0	 31	 24	 31	  0	 48	  8	 29	  0	  3	 10	 39	 29	  3	  3	  0	 44	  0	  9	 21	  3	 29	  0	 52	  1	 43	  0	 75	  5	 13	 21	  0	 20	  0	 32	  3	 68	  5	 90	  3	  3	  5	 78	  1	  1	 40	  2	104	  1	 24	 16	 37	  2	  1	 16	 11	 45	  0	  5	  3	 20	  2	  2	 30	  4	112	  0	 76	  3	 28	  2	  2	 13	  1	 10	 25	 74	  1	 13	  0	  4	 12	 26	 48	  0	  3	  4	 19	 17	 17	 43	  0	  2	  0	  6	 30	 47	 42	  2	  7	 11	  7	 10	 18	 49	  0	  0	  0	  3	 13	  4	 57	  1	  0	  0	 16	 11	 32	 61	  4	  0	  0	  8	 21	 12	 31	  2	  0
 g__[Eubacterium]_fissicatena_group	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__[Eubacterium]_nodatum_group	4	0	3	3	0	2	1	1	0	0	0	2	2	0	1	3	3	0	2	0	1	2	0	2	2	2	0	1	0	1	1	0	1	3	3	0	1	1	3	0	3	0	2	3	0	1	1	3	0	5	0	0	4	0	0	1	1	0	2	0	2	3	0	1	1	2	0	2	0	1	2	0	4	2	1	1	1	1	2	2	2	1	2	2	3	1	2	2	1	1	1	2	0	2	2	2	2	0	2	2	4	3	1	1	1	2	2	2	5	1	1	1	3	1	2	4	0	2	1	4	1	2	2	1	1	0	2	1
 g__[Eubacterium]_oxidoreducens_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
 g__[Eubacterium]_siraeum_group	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	23	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	14	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__[Eubacterium]_ventriosum_group	145	 60	 34	 33	  0	 56	  8	 22	  0	108	 33	 48	 58	 15	 52	 14	 33	  0	 90	 30	 19	 35	  1	 48	 12	 23	  0	122	  4	 25	 33	  1	  8	 14	 17	  0	 81	 12	 60	  2	 88	  3	 10	 14	  6	 88	 25	 74	  1	 78	 16	  3	 32	  3	 85	  2	 43	  0	 32	  4	  9	 23	 16	 79	 14	 48	  0	 33	  1	  5	 25	  2	 94	 48	 19	  5	 32	 26	 21	 48	 26	 27	 18	 21	 48	  5	 25	 53	 52	  5	 12	 13	  6	 27	 25	 24	 56	 42	 38	 14	 33	145	 40	 19	 42	 33	 32	 28	 75	 20	 13	 19	 85	 46	 12	 36	 18	 32	 52	 74	 34	 54	 26	 92	 32	 29	 30	 12
 g__[Eubacterium]_xylanophilum_group	 84	 67	 44	 29	  0	 19	 54	 55	  3	 72	 54	 57	 28	  9	 11	  2	 39	  8	 66	 38	103	 55	  0	 28	 85	 27	  1	 30	  2	 77	 35	  2	  3	 63	108	  0	 54	101	 11	  8	 46	  2	 17	  9	  0	 38	 37	 10	  2	 44	  1	 25	 36	  3	 32	 38	 12	  0	 48	  0	 16	 20	  0	 59	 74	  8	  0	 27	  0	 52	 11	  0	 34	 32	 19	 85	 51	  8	  6	 16	 34	  7	 56	 11	 73	 46	 60	 44	  8	 60	 56	  4	 26	 54	 10	 25	 32	 87	 21	 49	 80	  5	 48	 46	  9	 18	 14	 29	 10	 70	 78	 43	 49	 35	 59	 20	 87	  7	 46	 12	 55	 45	 61	 26	 69	 42	 13	 36
 g__0319-6G20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__1174-901-12	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__A2	27	58	 5	14	 0	34	25	32	 3	13	14	28	23	14	22	10	14	 2	61	44	59	25	 0	47	14	23	 0	15	 0	49	32	 0	32	 6	54	 0	41	32	10	 5	48	12	16	 8	 0	33	 1	 8	 1	11	13	43	13	 4	16	23	 6	 0	43	 2	34	42	 0	34	33	 3	 0	52	 3	59	 4	 0	41	22	70	52	56	37	 5	20	37	77	26	42	48	27	29	20	31	93	82	32	32	26	14	78	12	18	25	16	66	11	20	15	 9	17	15	19	14	47	43	24	 4	22	57	 8	63	 7	 8	26	13	20	42	50	32	30	48	13
 g__Abiotrophia	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	376	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
 g__Acetanaerobacterium	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Acetatifactor	 0	28	 1	 2	 0	20	14	20	 4	 0	10	 8	 4	 7	18	 8	16	 0	11	29	23	10	 0	 9	 8	 0	 0	10	 0	10	 9	 1	29	 3	18	 0	16	12	 5	 0	 9	 8	 3	11	 0	12	 1	 4	 0	 3	 9	 8	 9	 2	23	12	 0	 0	10	 0	 7	18	 0	17	10	 0	 0	11	 2	18	 1	 0	19	 7	19	 4	 9	15	12	 5	10	24	 3	20	16	20	16	 8	13	 6	29	 5	35	34	20	26	 0	 6	 8	 8	25	17	 9	15	 2	10	16	 9	12	16	11	 6	 7	20	19	 5	 9	 1	 6	12	15	16	22	 6	13	12	10	13
 g__Acetivibrio	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Acetonema	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Acidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Acinetobacter	 0	 0	 0	 0	 0	 0	 0	 0	 8	 0	 6	 0	 0	 2	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	27	 0	 0	16	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Actinoallomurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Actinomadura	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Actinomyces	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	82	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Actinotalea	0	1	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Adlercreutzia	15	 2	 2	 0	 0	 0	 0	 0	 0	 0	 0	 7	 1	 0	 0	 0	 0	 0	 2	 0	 4	 1	 0	 0	 0	 0	 0	 2	 0	 3	 2	 0	 0	 0	 0	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 2	12	 0	 0	 1	 0	 0	 0	 0	 1	 4	 0	 0	 1	 0	 0	 0	 0	 1	 3	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Advenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Aeribacillus	  0	  0	  0	  0	  0	  0	  0	  0	  4	  0	  0	  0	  0	107	  0	  0	  0	  2	  0	  5	  0	  0	 54	  0	  0	  0	  0	  0	 13	  0	  0	 53	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 11	  0	  0	  0	  0	  0	  0	  0	  0	 44	  0	  0	  0	  0	  0	  0	  0	  0	 15	  0	  0	  0	  0	  0	  0	  0	  0	 18	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
 g__Aerococcus	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Aeromicrobium	0	1	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Afipia	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Agrococcus	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	14	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Akkermansia	306	165	254	166	  0	409	 21	295	 30	704	 26	135	625	 40	272	 11	674	 27	 98	 76	150	453	  4	467	119	790	  2	143	  3	237	510	  0	391	 87	332	  7	461	 48	374	 28	  7	 59	134	921	  6	502	260	456	  3	 27	 99	118	470	 24	322	116	254	  0	  6	 14	 65	623	 12	470	 96	290	  0	 13	  3	 98	834	  2	156	 58	 24	110	163	 25	401	 17	 62	 68	 54	183	 60	126	 32	160	166	 76	121	 98	344	 12	  2	122	288	176	209	235	 14	330	 95	 16	250	322	179	 54	189	  9	  5	 14	127	159	 48	263	 29	 84	  2	308	155	 19	 69	 30	  3	 14	236	217
 g__Alcanivorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Aliihoeflea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Alistipes	  0	  0	 58	 93	  0	 40	 41	233	  1	  0	  0	  0	  0	  0	 66	 20	138	  3	  0	  0	  0	  0	  0	 90	 44	324	  0	  0	  2	  0	  0	  1	 51	 22	200	  8	  0	 35	154	 26	106	  5	 54	 14	  0	  0	  2	155	  6	112	  8	 59	 28	  2	  0	 32	248	  0	121	  1	 56	 27	 11	  0	 21	243	  0	 96	  2	 50	  8	  0	135	 56	  0	  0	 57	131	 36	130	 77	  0	  0	 57	175	 56	144	 62	  0	  0	116	124	 44	103	 32	  0	  0	 58	 73	 54	108	127	  0	  0	  0	116	 47	 92	 78	  0	  0	  0	105	 73	 91	 51	  0	  0	  0	108	 82	151	 71	  0	  0	  0	 76	 62
 g__Alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Allobaculum	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	17	 0	 0	 6	 0	 0	 0	 0	 0	20	 0	 0	 5	 0	 0	 0	 0	 0	27	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	14	 0	 0	 0	 0	 0	 0	 9	 0	 0	 0	 0	 0	 0	 8	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 0	 1	 0	 0	 0	 0	 0	 0	 2	 0	15	 0	 0	27	 0	 0	 0	11	 0	20	 0	 0	31	 0	 0	 0	 1	 0	18	 0	 0	 9	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Aminobacter	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Amnipila	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Amphibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
