Genus	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129	PrNotRecog
 g__Hydrogenibacillus	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Hydrogenispora	0	98	0	0	0	0	0	0	199	0	0	2	0	0	76	0	0	0	67	0	81	0	0	988	0	0	0	62	0	229	0	0	195	0	0	0	41	0	0	0	0	0	0	0	0	36	0	0	0	3	0	0	0	0	24	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
 g__Hydrogenophilus	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	36	0	0	6	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Iamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Ileibacterium	3	1652	6947	12122	0	0	10554	2511	256	0	0	554	7188	7381	246	0	10335	3031	25	5773	281	5914	8129	49	0	7734	4734	15	1393	107	4818	7484	65	0	11424	5307	0	1114	14042	9436	301	4102	8	9419	42905	58	1636	9201	6692	79	9056	7	7613	11662	1152	1650	12657	6166	0	3984	4	6943	7167	31	1282	7297	5738	0	1799	17	7863	14579	40	56	0	5134	2890	6101	336	0	632	0	4396	4529	5735	983	4	278	0	6253	2121	4452	1358	15	223	0	4358	5671	6184	921	17	335	0	8289	556	8767	4529	6377	6539	0	3886	86	10872	5253	1618	1541	5	3563	1517	11650	3142	3526	3220	0	4540	415	6491	3313	2791	7563
 g__IMCC26207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Imtechella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Incertae_Sedis	348	386	57	278	0	169	340	302	51	0	400	90	106	113	55	345	194	215	21	225	177	434	158	143	149	188	131	18	98	115	167	177	36	343	106	2370	16	79	1113	365	211	328	0	244	516	22	114	100	138	14	196	46	317	245	28	332	214	150	0	216	12	366	411	10	84	271	179	0	208	0	438	44	8	301	84	288	454	241	559	85	170	166	424	203	303	483	333	314	117	197	569	418	661	213	598	114	323	111	94	366	249	842	169	268	334	183	289	232	146	153	322	646	404	159	376	535	158	338	134	139	224	309	280	318	172	429	300	196	408	457
 g__Intestinimonas	125	176	6	219	0	87	59	46	0	0	95	0	46	19	0	99	47	55	0	105	29	102	26	8	55	61	131	0	23	16	64	59	0	197	45	151	0	57	405	46	61	91	14	69	289	0	14	42	23	8	49	12	59	74	13	19	208	22	0	67	0	127	280	0	38	75	39	0	52	0	88	29	0	108	20	215	94	124	64	98	29	53	222	61	115	75	201	70	61	116	182	167	374	81	103	41	221	16	26	150	97	126	109	72	80	51	46	115	23	49	249	114	79	28	136	243	35	169	46	54	54	66	56	118	73	77	113	37	180	116
 g__Isoptericola	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Janthinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__JCM_18997	0	0	0	0	0	0	0	0	0	0	0	9	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__JG30-KF-CM45	2	17	0	0	0	0	0	0	3	0	0	23	0	0	9	0	0	0	0	0	46	0	0	32	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__JGI_0000069-P22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Johnsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kaistia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	42	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__KD4-96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kineococcus	0	25	0	0	0	0	0	0	35	0	0	19	0	0	4	0	0	0	16	0	15	0	0	47	0	0	0	20	0	34	0	0	30	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Klebsiella	0	0	0	0	0	0	0	0	25	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	12022	0	0	0	0	0	0	0	0	12634	0	0	0	0	0	0	0	0	49927	0	0	0	0	0	0	0	0	15141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966
 g__Klenkia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kocuria	0	1142	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	9	0	17	0	0	19	0	0	0	0	0	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
 g__Kosakonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kroppenstedtia	0	73	0	0	2	0	0	0	378	0	0	432	0	0	56	0	0	0	230	0	259	0	0	331	0	0	0	116	0	183	0	0	79	0	0	0	220	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	239	0	0	0	0	0	4	0	0	61	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
 g__Kurthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	25	0	0	0	0	21	0	0	0	0	0	7	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Labrys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Laceyella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Lachnoclostridium	1076	3137	165	1901	0	1225	862	946	518	0	3278	1420	336	1124	277	1672	607	1906	187	1008	1162	989	747	485	1217	548	688	96	454	239	629	801	284	3522	367	7535	111	748	3027	1647	711	714	238	664	4331	97	1167	365	1078	52	1140	758	741	1043	627	1296	1070	709	0	497	242	1108	1620	37	780	1097	772	0	757	0	1419	546	72	866	347	1988	379	618	744	871	441	658	1948	615	667	749	510	809	795	1264	986	741	922	1748	1221	669	1140	258	368	740	569	1112	1293	1083	1537	843	1251	712	551	695	903	1656	1064	731	1463	658	499	780	351	317	792	556	648	699	393	1379	1178	1014	434	2130
 g__Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Lachnospiraceae_AC2044_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Lachnospiraceae_FCS020_group	78	556	9	386	0	253	128	294	7	0	76	184	73	67	26	261	139	289	0	73	472	220	21	0	70	125	168	0	13	0	91	26	0	83	55	1133	0	258	58	161	144	121	0	52	829	0	106	26	81	23	61	0	61	111	55	721	44	54	0	93	0	149	102	5	305	36	199	0	69	0	259	98	0	141	20	166	178	220	84	45	45	61	239	211	214	166	20	63	63	56	332	175	208	62	212	56	191	82	119	72	25	96	110	47	98	119	62	71	22	64	59	96	192	24	80	63	81	64	32	95	33	126	27	102	24	50	156	75	76	187
 g__Lachnospiraceae_NC2004_group	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	10	0	0	0	0	7	4	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	4	0	0	2	0	4	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	4	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0	0	6	2	2	6	2	0	0	20	4	0	0	0	0	0	0	3	4	0	0	0
 g__Lachnospiraceae_NK4A136_group	4832	14143	1754	9371	0	6052	4660	6482	389	0	10894	3224	3499	3763	961	8652	4743	2547	118	8082	4519	7099	5357	52	7495	4511	3264	20	2998	154	3528	5669	240	10546	3889	30089	30	4952	14870	5932	7058	8768	575	6852	13123	27	3721	2972	3392	552	7235	1129	7793	6460	1195	7351	6873	3637	0	3736	283	7842	7103	85	3896	5040	5150	0	4501	41	8330	3759	39	10872	2650	8030	10235	4316	10226	8661	5424	5182	6396	3511	5457	8321	10295	12769	6701	5991	13779	8541	17470	8926	12237	6324	7117	3279	5632	9589	7693	14107	9709	7390	9552	6067	10506	7759	5805	4863	9697	17447	7397	5757	12568	14924	4971	11980	4941	2926	7276	6869	6974	10299	3501	10720	8023	6334	12745	12677
 g__Lachnospiraceae_NK4B4_group	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	11	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0	570	0	0	0	0	0	0	126	0	0	0	0	0	0	42	0	0	0	0	0	246	0	0	0	0	0	0	179	12	0	0	0	0	0	436	0	0	0	0	0	0	96	0	0	0	43
 g__Lachnospiraceae_UCG-001	0	762	0	0	0	275	745	0	7	0	0	32	41	118	50	63	277	367	0	155	100	33	304	0	492	0	5	0	113	5	4	170	0	774	39	192	0	80	14	0	0	291	30	360	651	0	184	0	0	0	518	47	345	177	96	292	357	0	0	1106	12	90	722	0	116	9	0	0	641	0	382	71	0	12	185	1072	563	416	1359	262	307	72	682	447	430	464	200	550	55	302	1597	738	387	736	273	285	556	225	10	24	474	543	96	74	1229	822	474	32	292	158	204	205	1353	178	118	297	234	21	259	330	477	150	305	504	668	442	1641	565	166	577
 g__Lachnospiraceae_UCG-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	9	0	0	0	0	0	3	0	0	0	0	0	0	6	6	0	0	0	3	0	0	0	0	4	0	4	0	4	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	2	0	0	0	0	5	0	0	0	9	0	0	3	0	0	0
 g__Lachnospiraceae_UCG-006	26	394	23	277	0	445	96	68	0	0	44	89	40	180	51	278	84	170	0	167	136	121	79	0	183	125	11	0	54	17	39	81	8	352	12	551	0	141	185	435	109	76	18	37	446	8	91	7	264	13	253	65	48	93	25	484	27	52	0	72	10	69	204	0	69	149	86	0	79	3	87	24	0	106	41	103	131	145	109	132	17	107	313	100	98	143	96	75	176	191	218	328	40	238	106	94	109	51	94	144	125	116	279	191	298	441	390	98	48	108	202	345	212	62	109	144	38	92	46	52	560	44	116	171	53	498	248	480	51	252
 g__Lachnospiraceae_UCG-008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
 g__Lachnospiraceae_UCG-010	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	4	4	0	0	5	0	7	0	0	6	4	0	0	6	0	0	3	0	6	0	17	0	7	17	4	5	5	0	0	15	0	0	4	0	0	4	0	5	0	0	10	5	0	0	5	0	25	5	0	0	6	0	0	8	0	15	0	0	15	0	20	0	0	0	5	0	4	13	4	0	9	0	7	8	5	9	8	0	6	13	0	8	0	0	5	5	0	13	14	8	0	9	5	0	0	13	12	0	0	9	12	0	11	0	0	0	7	8	17	0	8	10	0	0	10
 g__Lachnotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	5	0	0	37	0	0	0	0	0	26	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Lactobacillus	1699	1468	10209	9332	51	638	11379	6038	592	10065	2	1758	12309	8337	207	77	9225	4870	504	9967	787	11222	9097	1861	713	6383	3653	491	4909	419	8492	4585	505	171	11933	15626	364	72	25345	8966	795	1083	62	12736	1775	331	115	14680	6813	265	1706	36	13257	1624	2400	95	11437	6623	21	1186	80	13717	4271	115	640	12989	6643	5	449	5	16514	8850	299	2059	9126	3369	7298	6379	9391	13525	453	12932	2848	11011	5797	14585	7115	157	10202	2384	6293	2797	6301	8920	5428	8983	3559	10839	9372	6781	10861	1654	552	8128	7698	10081	9131	15590	8175	10365	8084	10493	7184	7724	10248	4629	13353	3502	13214	11430	12978	5598	1391	10690	1668	16088	8007	11481	7712	14277
 g__Lactococcus	0	55	0	0	0	0	0	0	372	0	0	48	0	0	16	0	0	0	38	0	153	0	0	51	0	0	0	27	0	8	0	0	21	0	0	0	9	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
 g__Lautropia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
 g__Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	27	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
 g__LD29	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Legionella	0	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	11	0	0	82	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
